,Subject,Condition,Trial,Time_Box,Days_Past,RT,Total.Number.of.People,Unique.Within.Day,Unique.Overall,Specific.Description,Vague.Description
91,2012,Backward Recall,backward,evening,2,10696.6,2,2,0,2,0
92,2012,Backward Recall,backward,midday,2,12211.4,2,0,0,2,0
93,2012,Backward Recall,backward,morning,2,5836.1,2,0,0,2,0
94,2012,Backward Recall,backward,evening,3,11387.8,2,2,0,2,0
95,2012,Backward Recall,backward,midday,3,14155.5,4,2,2,4,0
96,2012,Backward Recall,backward,morning,3,7853,2,0,0,2,0
97,2012,Backward Recall,backward,evening,4,5322.7,2,2,0,2,0
98,2012,Backward Recall,backward,midday,4,4510.3,2,0,0,2,0
99,2012,Backward Recall,backward,morning,4,4918.4,2,0,0,2,0
100,2013,Forward Recall,forward,morning,4,33612,4,4,4,4,0
101,2013,Forward Recall,forward,midday,4,16754,3,2,2,3,0
102,2013,Forward Recall,forward,evening,4,2911,2,2,2,2,0
103,2013,Forward Recall,forward,morning,3,15248,5,5,5,5,0
104,2013,Forward Recall,forward,midday,3,11305,4,1,0,4,0
105,2013,Forward Recall,forward,evening,3,10062,1,0,0,1,0
106,2013,Forward Recall,forward,morning,2,15387,6,6,1,6,0
107,2013,Forward Recall,forward,midday,2,11658,4,0,0,4,0
108,2013,Forward Recall,forward,evening,2,5017,3,0,0,3,0
109,2013,Forward Recall,forward,morning,1,8343,3,3,0,3,0
110,2013,Forward Recall,forward,midday,1,6645,3,0,0,3,0
111,2013,Forward Recall,forward,evening,1,5113,1,0,0,1,0
124,2015,Forward Recall,forward,morning,4,34954.5,4,4,4,2,2
125,2015,Forward Recall,forward,midday,4,38473,2,2,2,2,0
126,2015,Forward Recall,forward,evening,4,7275.5,1,1,1,1,0
127,2015,Forward Recall,forward,morning,3,40665.7,5,5,5,5,0
128,2015,Forward Recall,forward,midday,3,27818.9,3,0,0,3,0
129,2015,Forward Recall,forward,evening,3,10118,2,2,1,2,0
130,2015,Forward Recall,forward,morning,2,21515.4,2,2,2,2,0
131,2015,Forward Recall,forward,midday,2,41876.8,2,0,0,2,0
132,2015,Forward Recall,forward,evening,2,5396.5,2,2,2,0,0
133,2015,Forward Recall,forward,morning,1,8132.8,1,1,0,1,0
134,2015,Forward Recall,forward,midday,1,7680.7,0,0,0,0,0
135,2015,Forward Recall,forward,evening,1,4963.4,0,0,0,0,0
136,2016,Free Recall,FR,FR,1,149211.5,22,0,22,18,4
137,2017,Free Recall,FR,FR,1,119911.2,11,0,11,10,1
150,2019,Forward Recall,forward,morning,4,14187.8,0,0,0,0,0
151,2019,Forward Recall,forward,midday,4,9491.5,6,6,6,6,0
152,2019,Forward Recall,forward,evening,4,8461.6,4,4,3,4,0
153,2019,Forward Recall,forward,morning,3,9927.2,0,0,0,0,0
154,2019,Forward Recall,forward,midday,3,5517.2,3,3,2,3,0
155,2019,Forward Recall,forward,evening,3,8063.9,3,1,0,3,0
156,2019,Forward Recall,forward,morning,2,10719.5,0,0,0,0,0
157,2019,Forward Recall,forward,midday,2,8791.3,4,4,0,4,0
158,2019,Forward Recall,forward,evening,2,11326.1,5,1,1,5,0
159,2019,Forward Recall,forward,morning,1,12368.2,0,0,0,0,0
160,2019,Forward Recall,forward,midday,1,4144.3,2,2,2,2,0
161,2019,Forward Recall,forward,evening,1,5244.7,3,1,1,3,0
162,2020,Free Recall,FR,FR,1,23383.6,4,0,4,3,1
163,2021,Forward Recall,forward,midday,4,41301,7,7,7,4,3
164,2021,Forward Recall,forward,evening,4,44411,7,7,7,0,7
165,2021,Forward Recall,forward,morning,3,13876,2,2,2,1,1
166,2021,Forward Recall,forward,midday,3,33707,7,7,4,0,7
167,2021,Forward Recall,forward,evening,3,57323,8,4,4,0,8
168,2021,Forward Recall,forward,morning,2,66458,13,6,3,3,10
169,2021,Forward Recall,forward,midday,2,23327,5,5,0,1,4
170,2021,Forward Recall,forward,evening,2,15297,3,2,0,1,2
171,2021,Forward Recall,forward,morning,1,29609,5,5,0,1,4
172,2021,Forward Recall,forward,midday,1,20256,4,2,2,0,4
173,2021,Forward Recall,forward,evening,1,36761,0,0,0,0,0
